Location (coordinates),Water body,Location Name,Date,Season,Observers,Start time,End time,"Transect location (RB, LB)",Canopy Cover (0 to 1 ratio),Temperature (°C),pH,Conductivity (mS/cm),Salinity,TDS g/L,DO %,DO mg/L,Riffle,Pool,Glide,Run,Cover (area) [m^2],# individuals,Aquatic plant species,"Emergent, submergent or floating?",Depth (m),Velocity (m/s),Substrate size (mm)
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",1:15 PM,2:39 PM,LB,0.7205882353,11.09,8.42,0.157,0.1,0.138,95.2,10.46,45,0,0,55,,9,annual grass,emergent,0.4,0.8,64
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",1:15 PM,2:39 PM,LB,0.7205882353,11.09,8.42,0.157,0.1,0.138,95.2,10.46,45,0,0,55,,20,Equisetum arvense,emergent,0.35,1,64
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",1:15 PM,2:39 PM,LB,0.7205882353,11.09,8.42,0.157,0.1,0.138,95.2,10.46,45,0,0,55,,2,Veronica anagallis-aquatica,emergent,0.4,0.6,32
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",1:15 PM,2:39 PM,LB,0.7205882353,11.09,8.42,0.157,0.1,0.138,95.2,10.46,45,0,0,55,,3,Nasturtium officinale,submergent,0.36,1,45
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",1:15 PM,2:39 PM,LB,0.7205882353,11.09,8.42,0.157,0.1,0.138,95.2,10.46,45,0,0,55,7,25,Mentha aquatica,partly emergent,0.4,1,90
"36.4744033, -121.7287859",Carmel River,Rosie's Bridge,3/29/2025,spring,"Audrey, Dante Bryant, Elizabeth Anguiano, Yaveth Hernandez",1:15 PM,2:39 PM,LB,0.7205882353,11.09,8.42,0.157,0.1,0.138,95.2,10.46,45,0,0,55,5.8,100,annual grass,emergent,0.44,1.1,64
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36 AM,12:00 PM,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,,3,annual grass,submergent,0.18,0.4,<2
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36 AM,12:00 PM,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,5.8,30,annual grass,emergent,0.38,0.2,<2
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36 AM,12:00 PM,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,5.8,4,Mentha aquatica,emergent,0.38,0.2,<2
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36 AM,12:00 PM,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,5.8,6,Nasturtium officinale,submergent,0.38,0.2,<2
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36 AM,12:00 PM,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,,2,Nasturtium officinale,emergent,0.52,0.2,45
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36 AM,12:00 PM,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,,1,Nasturtium officinale,submergent,0.52,0.1,4
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36 AM,12:00 PM,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,,9,Mentha aquatica,submergent,0.52,0.1,4
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36 AM,12:00 PM,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,11.6,9,annual grass,emergent,0.515,0.1,<2
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36 AM,12:00 PM,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,,1,Nasturtium officinale,submergent,0.54,0.2,32
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36 AM,12:00 PM,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,,4,Mentha aquatica,submergent,0.54,0.2,32
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36 AM,12:00 PM,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,,2,Nasturtium officinale,submergent,0.52,0.2,128
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36 AM,12:00 PM,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,,4,Nasturtium officinale,emergent,0.39,0.1,64
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36 AM,12:00 PM,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,,1,Mentha aquatica,emergent,0.39,0.1,64
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36 AM,12:00 PM,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,,1,Mentha aquatica,emergent,0.37,0.05,45
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36 AM,12:00 PM,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,,3,Veronica anagallis-aquatica,submergent,0.24,0,64
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36 AM,12:00 PM,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,,2,Nasturtium officinale,submergent,0.24,0,64
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36 AM,12:00 PM,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,,17,Nasturtium officinale,emergent,0.19,0,<2
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36 AM,12:00 PM,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,,2,Mentha aquatica,emergent,0.19,0,<2
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36 AM,12:00 PM,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,8.2,30,annual grass,emergent,0.305,<0.1,64
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36 AM,12:00 PM,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,,1,Mentha aquatica,emergent,0.305,<0.1,<2
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36 AM,12:00 PM,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,,5,Mentha aquatica,submergent,0.575,0.2,45
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36 AM,12:00 PM,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,,2,Nasturtium officinale,submergent,0.48,0.3,90
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36 AM,12:00 PM,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,,2,Mentha aquatica,submergent,0.63,0.3,90
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36 AM,12:00 PM,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,,2,Mentha aquatica,emergent,0.77,0.3,90
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36 AM,12:00 PM,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,,1,Nasturtium officinale,emergent,0.77,0.3,64
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:05 PM,12:48 PM,RB,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,0,98,6.2,15,annual grass,emergent,0.215,0.3,11
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:05 PM,12:48 PM,RB,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,0,98,,68,Mentha aquatica,partly emergent,0.25,0.2,<2
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:05 PM,12:48 PM,RB,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,0,98,,1,Nasturtium officinale,submergent,0.31,0.2,32
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:05 PM,12:48 PM,RB,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,0,98,,2,Nasturtium officinale,submergent,0.35,0.2,32
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:05 PM,12:48 PM,RB,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,0,98,10,31,Scirpus microcarpus,emergent,0.445,0.3,180
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:05 PM,12:48 PM,RB,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,0,98,,8,Scirpus microcarpus,emergent,0.52,0.3,90
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:05 PM,12:48 PM,RB,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,0,98,,10,annual grass,emergent,0.73,0.3,128
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:05 PM,12:48 PM,RB,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,0,98,,6,annual grass,emergent,0.7,0.2,90
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:05 PM,12:48 PM,RB,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,0,98,,1,Scirpus microcarpus,emergent,0.635,0.3,64
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:05 PM,12:48 PM,RB,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,0,98,,1,Mentha aquatica,emergent,0.53,0.2,22
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:05 PM,12:48 PM,RB,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,0,98,,1,Nasturtium officinale,submergent,0.595,0.2,180
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:05 PM,12:48 PM,RB,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,0,98,,7,Mentha aquatica,emergent,0.555,0.2,64
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:05 PM,12:48 PM,RB,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,0,98,,29,Nasturtium officinale,submergent,0.52,0.3,128
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:05 PM,12:48 PM,RB,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,0,98,4.2,30,annual grass,emergent,0.535,0.2,<2
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:05 PM,12:48 PM,RB,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,0,98,4.2,16,Mentha aquatica,emergent,0.535,0.2,<2
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:05 PM,12:48 PM,RB,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,0,98,,4,Nasturtium officinale,submergent,0.585,0.2,128
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:05 PM,12:48 PM,RB,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,0,98,5.8,32,Scirpus microcarpus,emergent,0.67,0.2,90
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:05 PM,12:48 PM,RB,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,0,98,,6,Mentha aquatica,emergent,0.67,0.2,90
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",11:09 AM,12:12 PM,RB,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,0,100,2.6,11,Carex nudata,emergent,0.54,0.06096,64
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",11:09 AM,12:12 PM,RB,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,0,100,,4,Carex nudata,emergent,0.135,0.09144,200
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",11:09 AM,12:12 PM,RB,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,0,100,,3,Carex nudata,emergent,0.13,0.03048,300
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",11:09 AM,12:12 PM,RB,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,0,100,,31,Equisetum arvense,emergent,0.12,0.03048,128
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",11:09 AM,12:12 PM,RB,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,0,100,,5,Carex nudata,emergent,0.13,0.06096,22.6
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",11:09 AM,12:12 PM,RB,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,0,100,,3,Carex nudata,emergent,0.15,0.09144,64
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",11:09 AM,12:12 PM,RB,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,0,100,,1,Carex nudata,emergent,0.2,0,350
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",11:09 AM,12:12 PM,RB,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,0,100,,13,annual grass,emergent,0.45,0.1524,90
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",11:09 AM,12:12 PM,RB,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,0,100,,2,Carex nudata,emergent,0.21,0.06096,<2
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",11:09 AM,12:12 PM,RB,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,0,100,,2,Juncus effusus,emergent,0.56,0.03048,45
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",11:09 AM,12:12 PM,RB,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,0,100,,2,Carex nudata,emergent,0.22,0.12192,<2
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",11:09 AM,12:12 PM,RB,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,0,100,,2,Carex nudata,emergent,0.51,0.01524,<2
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",11:09 AM,12:12 PM,RB,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,0,100,,1,Carex nudata,emergent,0.69,0.01524,<2
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",11:09 AM,12:12 PM,RB,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,0,100,7.6,12,Carex nudata,emergent,0.94,0.03048,<2
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",11:09 AM,12:12 PM,RB,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,0,100,,5,Carex nudata,emergent,0.67,0.09144,<2
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",11:09 AM,12:12 PM,RB,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,0,100,7.6,11,Carex nudata,emergent,0.21,0.1524,>300
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",11:09 AM,12:12 PM,RB,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,0,100,,1,Carex nudata,emergent,0.9,0.03048,>300
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",11:09 AM,12:12 PM,RB,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,0,100,,1,Carex nudata,emergent,0.95,0.01524,>300
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:57 PM,2:07 PM,LB,1,13.4,8.52,0.141,0.09,0.117,75.2,7.85,0,0,0,100,9.8,9,Carex nudata,emergent,0.28,0.39624,>300
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:57 PM,2:07 PM,LB,1,13.4,8.52,0.141,0.09,0.117,75.2,7.85,0,0,0,100,7.2,10,Carex nudata,emergent,0.8,0.3048,>300
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:57 PM,2:07 PM,LB,1,13.4,8.52,0.141,0.09,0.117,75.2,7.85,0,0,0,100,,4,Carex nudata,emergent,1,0.27432,>300
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:57 PM,2:07 PM,LB,1,13.4,8.52,0.141,0.09,0.117,75.2,7.85,0,0,0,100,,2,Carex nudata,emergent,1.1,0.27432,>300
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:57 PM,2:07 PM,LB,1,13.4,8.52,0.141,0.09,0.117,75.2,7.85,0,0,0,100,,6,Carex nudata,emergent,0.85,0.18288,180
