location_coordinates,water_body,location_name,date,season,observers,start_time,end_time,transect_location_rb_lb,canopy_cover_0_to_1_ratio,temperature_c,p_h,conductivity_m_s_cm,salinity,tds_g_l,do_percent,do_mg_l,riffle,pool,glide,run,cover_area_m_2,number_individuals,aquatic_plant_species,emergent_submergent_or_floating,depth_m,velocity_m_s,substrate_size_mm,calc_stem_abundance_m2,final_abundance
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36:00,12:00:00,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,NA,9,Mentha aquatica,submergent,0.52,0.1,4,0.8099999999999999,0.8099999999999999
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36:00,12:00:00,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,11.6,9,annual grass,emergent,0.515,0.1,<2,0.8099999999999999,11.6
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36:00,12:00:00,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,NA,1,Nasturtium officinale,submergent,0.54,0.2,32,0.09,0.09
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36:00,12:00:00,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,NA,4,Mentha aquatica,submergent,0.54,0.2,32,0.36,0.36
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36:00,12:00:00,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,NA,2,Nasturtium officinale,submergent,0.52,0.2,128,0.18,0.18
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36:00,12:00:00,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,NA,4,Nasturtium officinale,emergent,0.39,0.1,64,0.36,0.36
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36:00,12:00:00,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,NA,1,Mentha aquatica,emergent,0.39,0.1,64,0.09,0.09
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36:00,12:00:00,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,NA,1,Mentha aquatica,emergent,0.37,0.05,45,0.09,0.09
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36:00,12:00:00,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,NA,3,Veronica anagallis-aquatica,submergent,0.24,0,64,0.27,0.27
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36:00,12:00:00,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,NA,2,Nasturtium officinale,submergent,0.24,0,64,0.18,0.18
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36:00,12:00:00,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,NA,17,Nasturtium officinale,emergent,0.19,0,<2,1.53,1.53
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36:00,12:00:00,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,NA,2,Mentha aquatica,emergent,0.19,0,<2,0.18,0.18
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36:00,12:00:00,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,8.2,30,annual grass,emergent,0.305,<0.1,64,2.6999999999999997,8.2
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36:00,12:00:00,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,NA,1,Mentha aquatica,emergent,0.305,<0.1,<2,0.09,0.09
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36:00,12:00:00,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,NA,5,Mentha aquatica,submergent,0.575,0.2,45,0.44999999999999996,0.44999999999999996
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36:00,12:00:00,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,NA,2,Nasturtium officinale,submergent,0.48,0.3,90,0.18,0.18
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36:00,12:00:00,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,NA,2,Mentha aquatica,submergent,0.63,0.3,90,0.18,0.18
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36:00,12:00:00,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,NA,2,Mentha aquatica,emergent,0.77,0.3,90,0.18,0.18
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",10:36:00,12:00:00,LB,0.9264705882,13.45,8.29,0.195,0.12,0.163,91.7,9.54,0,0,0,100,NA,1,Nasturtium officinale,emergent,0.77,0.3,64,0.09,0.09
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:05:00,12:48:00,RB,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,0,98,6.2,15,annual grass,emergent,0.215,0.3,11,1.3499999999999999,6.2
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:05:00,12:48:00,RB,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,0,98,NA,68,Mentha aquatica,partly emergent,0.25,0.2,<2,6.12,6.12
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:05:00,12:48:00,RB,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,0,98,NA,1,Nasturtium officinale,submergent,0.31,0.2,32,0.09,0.09
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:05:00,12:48:00,RB,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,0,98,NA,2,Nasturtium officinale,submergent,0.35,0.2,32,0.18,0.18
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:05:00,12:48:00,RB,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,0,98,10,31,Scirpus microcarpus,emergent,0.445,0.3,180,2.79,2.79
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:05:00,12:48:00,RB,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,0,98,NA,8,Scirpus microcarpus,emergent,0.52,0.3,90,0.72,0.72
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:05:00,12:48:00,RB,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,0,98,NA,10,annual grass,emergent,0.73,0.3,128,0.8999999999999999,0.8999999999999999
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:05:00,12:48:00,RB,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,0,98,NA,6,annual grass,emergent,0.7,0.2,90,0.54,0.54
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:05:00,12:48:00,RB,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,0,98,NA,1,Scirpus microcarpus,emergent,0.635,0.3,64,0.09,0.09
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:05:00,12:48:00,RB,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,0,98,NA,1,Mentha aquatica,emergent,0.53,0.2,22,0.09,0.09
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:05:00,12:48:00,RB,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,0,98,NA,1,Nasturtium officinale,submergent,0.595,0.2,180,0.09,0.09
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:05:00,12:48:00,RB,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,0,98,NA,7,Mentha aquatica,emergent,0.555,0.2,64,0.63,0.63
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:05:00,12:48:00,RB,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,0,98,NA,29,Nasturtium officinale,submergent,0.52,0.3,128,2.61,2.61
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:05:00,12:48:00,RB,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,0,98,4.2,30,annual grass,emergent,0.535,0.2,<2,2.6999999999999997,4.2
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:05:00,12:48:00,RB,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,0,98,4.2,16,Mentha aquatica,emergent,0.535,0.2,<2,1.44,1.44
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:05:00,12:48:00,RB,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,0,98,NA,4,Nasturtium officinale,submergent,0.585,0.2,128,0.36,0.36
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:05:00,12:48:00,RB,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,0,98,5.8,32,Scirpus microcarpus,emergent,0.67,0.2,90,2.88,2.88
"36.509329, -121.766890",Carmel River,Garland Ranch,4/19/25,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",12:05:00,12:48:00,RB,0.8529411765,14.46,8.46,0.201,0.12,0.164,102.2,10.38,0,2,0,98,NA,6,Mentha aquatica,emergent,0.67,0.2,90,0.54,0.54
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",11:09:00,12:12:00,RB,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,0,100,2.6,11,Carex nudata,emergent,0.54,0.06096,64,0.99,0.99
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",11:09:00,12:12:00,RB,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,0,100,NA,4,Carex nudata,emergent,0.135,0.09144,200,0.36,0.36
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",11:09:00,12:12:00,RB,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,0,100,NA,3,Carex nudata,emergent,0.13,0.03048,300,0.27,0.27
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",11:09:00,12:12:00,RB,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,0,100,NA,31,Equisetum arvense,emergent,0.12,0.03048,128,2.79,2.79
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",11:09:00,12:12:00,RB,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,0,100,NA,5,Carex nudata,emergent,0.13,0.06096,22.6,0.44999999999999996,0.44999999999999996
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",11:09:00,12:12:00,RB,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,0,100,NA,3,Carex nudata,emergent,0.15,0.09144,64,0.27,0.27
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",11:09:00,12:12:00,RB,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,0,100,NA,1,Carex nudata,emergent,0.2,0,350,0.09,0.09
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",11:09:00,12:12:00,RB,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,0,100,NA,13,annual grass,emergent,0.45,0.1524,90,1.17,1.17
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",11:09:00,12:12:00,RB,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,0,100,NA,2,Carex nudata,emergent,0.21,0.06096,<2,0.18,0.18
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",11:09:00,12:12:00,RB,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,0,100,NA,2,Juncus effusus,emergent,0.56,0.03048,45,0.18,0.18
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",11:09:00,12:12:00,RB,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,0,100,NA,2,Carex nudata,emergent,0.22,0.12192,<2,0.18,0.18
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",11:09:00,12:12:00,RB,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,0,100,NA,2,Carex nudata,emergent,0.51,0.01524,<2,0.18,0.18
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",11:09:00,12:12:00,RB,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,0,100,NA,1,Carex nudata,emergent,0.69,0.01524,<2,0.09,0.09
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",11:09:00,12:12:00,RB,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,0,100,7.6,12,Carex nudata,emergent,0.94,0.03048,<2,1.08,1.08
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",11:09:00,12:12:00,RB,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,0,100,NA,5,Carex nudata,emergent,0.67,0.09144,<2,0.44999999999999996,0.44999999999999996
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",11:09:00,12:12:00,RB,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,0,100,7.6,11,Carex nudata,emergent,0.21,0.1524,>300,0.99,0.99
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",11:09:00,12:12:00,RB,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,0,100,NA,1,Carex nudata,emergent,0.9,0.03048,>300,0.09,0.09
"36.3986234, -121.6618741",Carmel River,Cachagua Park,4/27/2025,spring,"Audrey, Dante Bryant, Sara Gonzalez, Malia Gavino",11:09:00,12:12:00,RB,0.9411764706,13.47,8.52,0.143,0.09,0.119,73.8,7.69,0,0,0,100,NA,1,Carex nudata,emergent,0.95,0.01524,>300,0.09,0.09
